ts,unix_ts,connection,source_ip,metric,endpoint,latency_ms,ok,error,mbps,time
2026-05-10T02:55:48.905948+00:00,1778381748.905965,Verizon,,tcp_ping,google_dns,19.779291999839188,True,,,2026-05-10 02:55:48.905948+00:00
2026-05-10T02:55:49.814415+00:00,1778381749.814424,Verizon,,tcp_ping,google_meet,78.585166999801,True,,,2026-05-10 02:55:49.814415+00:00
2026-05-10T02:55:50.335750+00:00,1778381750.3357692,Verizon,,tcp_ping,google_static,98.64558300023418,True,,,2026-05-10 02:55:50.335750+00:00
2026-05-10T02:55:50.843193+00:00,1778381750.8432078,Verizon,,tcp_ping,cloudflare,104.95716600007654,True,,,2026-05-10 02:55:50.843193+00:00
2026-05-10T02:55:51.259791+00:00,1778381751.25981,Verizon,,tcp_ping,google_dns,20.201750000069296,True,,,2026-05-10 02:55:51.259791+00:00
2026-05-10T02:55:52.115553+00:00,1778381752.11556,Verizon,,tcp_ping,google_meet,22.544625000136875,True,,,2026-05-10 02:55:52.115553+00:00
2026-05-10T02:55:52.617249+00:00,1778381752.617266,Verizon,,tcp_ping,google_static,23.047500000302534,True,,,2026-05-10 02:55:52.617249+00:00
2026-05-10T02:55:53.121067+00:00,1778381753.121077,Verizon,,tcp_ping,cloudflare,26.269542000136425,True,,,2026-05-10 02:55:53.121067+00:00
2026-05-10T02:55:53.622647+00:00,1778381753.622709,Verizon,,tcp_ping,google_dns,25.529833999826224,True,,,2026-05-10 02:55:53.622647+00:00
2026-05-10T02:55:54.528227+00:00,1778381754.528235,Verizon,,tcp_ping,google_meet,54.22670799998741,True,,,2026-05-10 02:55:54.528227+00:00
2026-05-10T02:55:55.054273+00:00,1778381755.054304,Verizon,,tcp_ping,google_static,78.96529199979341,True,,,2026-05-10 02:55:55.054273+00:00
2026-05-10T02:55:55.584222+00:00,1778381755.58423,Verizon,,tcp_ping,cloudflare,108.43979099990975,True,,,2026-05-10 02:55:55.584222+00:00
2026-05-10T02:55:55.994653+00:00,1778381755.9946618,Verizon,,tcp_ping,google_dns,18.691166000280646,True,,,2026-05-10 02:55:55.994653+00:00
2026-05-10T02:55:56.876844+00:00,1778381756.876853,Verizon,,tcp_ping,google_meet,29.24733300005755,True,,,2026-05-10 02:55:56.876844+00:00
2026-05-10T02:55:57.371425+00:00,1778381757.37147,Verizon,,tcp_ping,google_static,22.01908300003197,True,,,2026-05-10 02:55:57.371425+00:00
2026-05-10T02:55:57.876549+00:00,1778381757.876558,Verizon,,tcp_ping,cloudflare,26.61854100006167,True,,,2026-05-10 02:55:57.876549+00:00
2026-05-10T02:55:58.368410+00:00,1778381758.368426,Verizon,,tcp_ping,google_dns,17.384042000230693,True,,,2026-05-10 02:55:58.368410+00:00
