ts,unix_ts,connection,source_ip,metric,endpoint,latency_ms,ok,error,mbps,time
2026-05-10T02:20:16.403830+00:00,1778379616.403836,Peanut Butter,,tcp_ping,google_meet,47.43949999988217,True,,,2026-05-10 02:20:16.403830+00:00
2026-05-10T02:20:16.922335+00:00,1778379616.9223602,Peanut Butter,,tcp_ping,google_static,64.60783300008188,True,,,2026-05-10 02:20:16.922335+00:00
2026-05-10T02:20:17.462107+00:00,1778379617.462126,Peanut Butter,,tcp_ping,cloudflare,103.22204199997032,True,,,2026-05-10 02:20:17.462107+00:00
2026-05-10T02:20:17.970784+00:00,1778379617.9708102,Peanut Butter,,tcp_ping,google_dns,109.93641600020965,True,,,2026-05-10 02:20:17.970784+00:00
2026-05-10T02:20:18.774477+00:00,1778379618.774487,Peanut Butter,,tcp_ping,google_meet,27.215000000069267,True,,,2026-05-10 02:20:18.774477+00:00
2026-05-10T02:20:19.278935+00:00,1778379619.278959,Peanut Butter,,tcp_ping,google_static,30.334667000033733,True,,,2026-05-10 02:20:19.278935+00:00
2026-05-10T02:20:19.784590+00:00,1778379619.784609,Peanut Butter,,tcp_ping,cloudflare,35.2424580000843,True,,,2026-05-10 02:20:19.784590+00:00
2026-05-10T02:20:20.277877+00:00,1778379620.277889,Peanut Butter,,tcp_ping,google_dns,27.226665999933175,True,,,2026-05-10 02:20:20.277877+00:00
2026-05-10T02:20:21.161934+00:00,1778379621.161941,Peanut Butter,,tcp_ping,google_meet,27.888542000027883,True,,,2026-05-10 02:20:21.161934+00:00
2026-05-10T02:20:21.666859+00:00,1778379621.666871,Peanut Butter,,tcp_ping,google_static,30.071707999923092,True,,,2026-05-10 02:20:21.666859+00:00
2026-05-10T02:20:22.174918+00:00,1778379622.174933,Peanut Butter,,tcp_ping,cloudflare,38.38041600010911,True,,,2026-05-10 02:20:22.174918+00:00
2026-05-10T02:20:22.690883+00:00,1778379622.690908,Peanut Butter,,tcp_ping,google_dns,53.65612500008865,True,,,2026-05-10 02:20:22.690883+00:00
2026-05-10T02:20:23.742016+00:00,1778379623.742025,Peanut Butter,,tcp_ping,google_meet,118.87458299997888,True,,,2026-05-10 02:20:23.742016+00:00
2026-05-10T02:20:24.241388+00:00,1778379624.2414,Peanut Butter,,tcp_ping,google_static,116.7761659999087,True,,,2026-05-10 02:20:24.241388+00:00
2026-05-10T02:20:24.659740+00:00,1778379624.659748,Peanut Butter,,tcp_ping,cloudflare,34.04112500015799,True,,,2026-05-10 02:20:24.659740+00:00
2026-05-10T02:20:25.158932+00:00,1778379625.158955,Peanut Butter,,tcp_ping,google_dns,31.53937499996573,True,,,2026-05-10 02:20:25.158932+00:00
2026-05-10T02:20:26.005542+00:00,1778379626.0055501,Peanut Butter,,tcp_ping,google_meet,32.300791999887224,True,,,2026-05-10 02:20:26.005542+00:00
2026-05-10T02:20:26.513289+00:00,1778379626.5132968,Peanut Butter,,tcp_ping,google_static,39.99441699988893,True,,,2026-05-10 02:20:26.513289+00:00
2026-05-10T02:20:25.544299+00:00,1778379625.54433,Peanut Butter,,download,cloudflare_speed,,True,,32.32683918215363,2026-05-10 02:20:25.544299+00:00
2026-05-10T02:20:27.036112+00:00,1778379627.036118,Peanut Butter,,tcp_ping,cloudflare,61.76454199999171,True,,,2026-05-10 02:20:27.036112+00:00
2026-05-10T02:20:26.534256+00:00,1778379626.534264,Peanut Butter,,upload,cloudflare_speed,,True,,22.82870120881104,2026-05-10 02:20:26.534256+00:00
2026-05-10T02:20:27.502445+00:00,1778379627.502454,Peanut Butter,,tcp_ping,google_dns,27.28487500007759,True,,,2026-05-10 02:20:27.502445+00:00
